# expiration, strike, call_price, imp_vol
0.10000, 0.65000, 0.35002, 0.43167
0.10000, 0.70000, 0.30009, 0.40640
0.10000, 0.75000, 0.25031, 0.38329
0.10000, 0.80000, 0.20100, 0.36229
0.10000, 0.85000, 0.15296, 0.34346
0.10000, 0.90000, 0.10787, 0.32694
0.10000, 0.95000, 0.06853, 0.31294
0.10000, 1.00000, 0.03805, 0.30170
0.10000, 1.05000, 0.01804, 0.29337
0.10000, 1.10000, 0.00727, 0.28797
0.10000, 1.15000, 0.00253, 0.28529
0.10000, 1.20000, 0.00079, 0.28497
0.10000, 1.25000, 0.00023, 0.28653
0.10000, 1.30000, 0.00006, 0.28954
0.10000, 1.35000, 0.00002, 0.29358
0.15000, 0.65000, 0.35022, 0.43287
0.15000, 0.70000, 0.30054, 0.40753
0.15000, 0.75000, 0.25131, 0.38436
0.15000, 0.80000, 0.20302, 0.36330
0.15000, 0.85000, 0.15663, 0.34442
0.15000, 0.90000, 0.11372, 0.32785
0.15000, 0.95000, 0.07639, 0.31382
0.15000, 1.00000, 0.04672, 0.30255
0.15000, 1.05000, 0.02577, 0.29420
0.15000, 1.10000, 0.01284, 0.28878
0.15000, 1.15000, 0.00586, 0.28610
0.15000, 1.20000, 0.00252, 0.28577
0.15000, 1.25000, 0.00104, 0.28735
0.15000, 1.30000, 0.00043, 0.29036
0.15000, 1.35000, 0.00017, 0.29442
0.20000, 0.65000, 0.35072, 0.43406
0.20000, 0.70000, 0.30147, 0.40866
0.20000, 0.75000, 0.25293, 0.38542
0.20000, 0.80000, 0.20570, 0.36431
0.20000, 0.85000, 0.16071, 0.34538
0.20000, 0.90000, 0.11935, 0.32877
0.20000, 0.95000, 0.08328, 0.31470
0.20000, 1.00000, 0.05409, 0.30340
0.20000, 1.05000, 0.03255, 0.29503
0.20000, 1.10000, 0.01823, 0.28960
0.20000, 1.15000, 0.00963, 0.28691
0.20000, 1.20000, 0.00489, 0.28658
0.20000, 1.25000, 0.00244, 0.28816
0.20000, 1.30000, 0.00121, 0.29119
0.20000, 1.35000, 0.00061, 0.29526
0.25000, 0.65000, 0.35157, 0.43526
0.25000, 0.70000, 0.30283, 0.40979
0.25000, 0.75000, 0.25502, 0.38649
0.25000, 0.80000, 0.20874, 0.36532
0.25000, 0.85000, 0.16490, 0.34634
0.25000, 0.90000, 0.12469, 0.32969
0.25000, 0.95000, 0.08952, 0.31558
0.25000, 1.00000, 0.06063, 0.30425
0.25000, 1.05000, 0.03869, 0.29586
0.25000, 1.10000, 0.02338, 0.29041
0.25000, 1.15000, 0.01354, 0.28771
0.25000, 1.20000, 0.00764, 0.28739
0.25000, 1.25000, 0.00427, 0.28898
0.25000, 1.30000, 0.00239, 0.29201
0.25000, 1.35000, 0.00135, 0.29609
0.30000, 0.65000, 0.35272, 0.43645
0.30000, 0.70000, 0.30452, 0.41092
0.30000, 0.75000, 0.25740, 0.38756
0.30000, 0.80000, 0.21198, 0.36634
0.30000, 0.85000, 0.16908, 0.34730
0.30000, 0.90000, 0.12978, 0.33061
0.30000, 0.95000, 0.09526, 0.31646
0.30000, 1.00000, 0.06659, 0.30510
0.30000, 1.05000, 0.04434, 0.29669
0.30000, 1.10000, 0.02828, 0.29123
0.30000, 1.15000, 0.01748, 0.28852
0.30000, 1.20000, 0.01061, 0.28820
0.30000, 1.25000, 0.00641, 0.28979
0.30000, 1.30000, 0.00390, 0.29283
0.30000, 1.35000, 0.00240, 0.29693
0.35000, 0.65000, 0.35414, 0.43765
0.35000, 0.70000, 0.30646, 0.41205
0.35000, 0.75000, 0.26000, 0.38863
0.35000, 0.80000, 0.21533, 0.36735
0.35000, 0.85000, 0.17322, 0.34826
0.35000, 0.90000, 0.13463, 0.33152
0.35000, 0.95000, 0.10061, 0.31734
0.35000, 1.00000, 0.07211, 0.30595
0.35000, 1.05000, 0.04962, 0.29751
0.35000, 1.10000, 0.03297, 0.29204
0.35000, 1.15000, 0.02138, 0.28933
0.35000, 1.20000, 0.01370, 0.28901
0.35000, 1.25000, 0.00877, 0.29061
0.35000, 1.30000, 0.00566, 0.29366
0.35000, 1.35000, 0.00370, 0.29777
0.40000, 0.65000, 0.35578, 0.43884
0.40000, 0.70000, 0.30860, 0.41318
0.40000, 0.75000, 0.26274, 0.38969
0.40000, 0.80000, 0.21872, 0.36836
0.40000, 0.85000, 0.17727, 0.34922
0.40000, 0.90000, 0.13927, 0.33244
0.40000, 0.95000, 0.10567, 0.31822
0.40000, 1.00000, 0.07729, 0.30680
0.40000, 1.05000, 0.05460, 0.29834
0.40000, 1.10000, 0.03747, 0.29286
0.40000, 1.15000, 0.02523, 0.29014
0.40000, 1.20000, 0.01685, 0.28982
0.40000, 1.25000, 0.01128, 0.29142
0.40000, 1.30000, 0.00762, 0.29448
0.40000, 1.35000, 0.00522, 0.29860
